fileName	avgAmp	avgFreq	Comment	targetFreq	recording	section
1986_40+18.wav	0.86	5.65		331.12586398974656	1986	40+18
1989_40+18.wav	0.47	5.62		331.12586398974656	1989	40+18
1993_40+18.wav	0.97	3.41		304.2218887004256	1993	40+18
1995_40+18.wav	1.16	4.88		331.12586398974656	1995	40+18
1964_44+13.wav	3.54	4.80		589.9992155431552	1964	44+13
1968_44+13.wav	4.01	4.49		589.9992155431552	1968	44+13
1985_44+13.wav	4.41	5.51		589.9992155431552	1985	44+13
1986_44+13.wav	1.26	6.09		589.9992155431552	1986	44+13
1989_44+13.wav	0.89	4.58		589.9992155431552	1989	44+13
1993_44+13.wav	1.31	4.69		542.0617813468843	1993	44+13
1995_44+13.wav	2.23	6.00		589.9992155431552	1995	44+13
1964_45+5.wav	2.37	4.40		350.81563248497207	1964	45+5
1968_45+5.wav	4.20	4.59		350.81563248497207	1968	45+5
1985_45+5.wav	2.28	5.59		350.81563248497207	1985	45+5
1986_45+5.wav	1.60	3.45		350.81563248497207	1986	45+5
1989_45+5.wav	0.93	4.81		350.81563248497207	1989	45+5
1993_45+5.wav	1.44	5.21		322.3118635743821	1993	45+5
1995_45+5.wav	2.19	5.94		350.81563248497207	1995	45+5
1964_46+10.wav	4.48	5.16		556.885104053534	1964	46+10
1968_46+10.wav	3.98	5.62		556.885104053534	1968	46+10
1985_46+10.wav	2.04	5.60		556.885104053534	1985	46+10
1986_46+10.wav	3.71	3.97		556.885104053534	1986	46+10
1989_46+10.wav	1.43	4.97		556.885104053534	1989	46+10
1993_46+10.wav	2.66	4.60		511.63819129980493	1993	46+10
1995_46+10.wav	2.09	4.48		556.885104053534	1995	46+10
1964_46+7.wav	1.16	5.16		884.0	1964	46+7
1968_46+7.wav	0.97	5.62		884.0	1968	46+7
1985_46+7.wav	1.51	6.31		884.0	1985	46+7
1986_46+7.wav	3.67	5.12		884.0	1986	46+7
1989_46+7.wav	1.29	4.66		884.0	1989	46+7
1993_46+7.wav	0.78	4.38		812.1750030964172	1993	46+7
1995_46+7.wav	0.65	4.61		884.0	1995	46+7
1964_46-6.wav	1.57	3.80		662.2517279794931	1964	46-6
1968_46-6.wav	1.09	3.96		662.2517279794931	1968	46-6
1985_46-6.wav	1.05	3.91		662.2517279794931	1985	46-6
1986_46-6.wav	2.68	3.68		662.2517279794931	1986	46-6
1989_46-6.wav	1.69	4.23		662.2517279794931	1989	46-6
1993_46-6.wav	0.89	4.75		608.4437774008512	1993	46-6
1995_46-6.wav	1.19	6.28		662.2517279794931	1995	46-6
1964_52+1.wav	5.68	5.32		442.0	1964	52+1
1968_52+1.wav	6.18	4.94		442.0	1968	52+1
1985_52+1.wav	7.18	5.30		442.0	1985	52+1
1986_52+1.wav	2.22	4.47		442.0	1986	52+1
1989_52+1.wav	2.23	5.39		442.0	1989	52+1
1993_52+1.wav	0.89	4.93		406.0875015482086	1993	52+1
1995_52+1.wav	3.60	5.78		442.0	1995	52+1
1964_52+3.wav	1.25	4.29		992.2564507054857	1964	52+3
1968_52+3.wav	1.21	6.94		992.2564507054857	1968	52+3
1985_52+3.wav	1.69	8.57		992.2564507054857	1985	52+3
1986_52+3.wav	3.52	5.07		992.2564507054857	1986	52+3
1989_52+3.wav	2.34	5.47		992.2564507054857	1989	52+3
1993_52+3.wav	2.16	5.42		911.6356175612758	1993	52+3
1995_52+3.wav	2.36	5.32		992.2564507054857	1995	52+3
1964_52+5.wav	4.64	5.24		468.28268770680853	1964	52+5
1968_52+5.wav	5.54	5.55		468.28268770680853	1968	52+5
1985_52+5.wav	3.62	5.55		468.28268770680853	1985	52+5
1986_52+5.wav	4.40	5.09		468.28268770680853	1986	52+5
1989_52+5.wav	4.23	6.23		468.28268770680853	1989	52+5
1993_52+5.wav	3.57	4.24		430.2347209709002	1993	52+5
1995_52+5.wav	4.18	4.63		468.28268770680853	1995	52+5
1964_52+7.wav	1.43	4.88		1113.770208107068	1964	52+7
1968_52+7.wav	1.13	7.55		1113.770208107068	1968	52+7
1985_52+7.wav	0.86	4.73		1113.770208107068	1985	52+7
1986_52+7.wav	3.52	4.67		1113.770208107068	1986	52+7
1989_52+7.wav	4.47	6.93		1113.770208107068	1989	52+7
1993_52+7.wav	1.46	5.09		1023.2763825996099	1993	52+7
1995_52+7.wav	4.95	7.45		1113.770208107068	1995	52+7
1964_59+11.wav	18.00	4.18		312.541197284454	1964	59+11
1968_59+11.wav	10.54	6.86		312.541197284454	1968	59+11
1985_59+11.wav	10.03	6.89		312.541197284454	1985	59+11
1986_59+11.wav	7.33	5.30		312.541197284454	1986	59+11
1989_59+11.wav	3.56	5.35		312.541197284454	1989	59+11
1993_59+11.wav	1.02	4.61		287.1472260998409	1993	59+11
1995_59+11.wav	2.68	6.32		312.541197284454	1995	59+11
1964_59+7.wav	18.83	5.69		312.541197284454	1964	59+7
1968_59+7.wav	20.75	5.96		312.541197284454	1968	59+7
1985_59+7.wav	12.91	6.09		312.541197284454	1985	59+7
1986_59+7.wav	17.63	5.26		312.541197284454	1986	59+7
1989_59+7.wav	14.78	5.30		312.541197284454	1989	59+7
1993_59+7.wav	7.00	4.96		287.1472260998409	1993	59+7
1995_59+7.wav	20.15	5.93		312.541197284454	1995	59+7
1964_69+13.wav	4.37	4.92		442.0	1964	69+13
1968_69+13.wav	3.78	4.99		442.0	1968	69+13
1985_69+13.wav	3.21	5.19		442.0	1985	69+13
1986_69+13.wav	2.45	3.40		442.0	1986	69+13
1989_69+13.wav	1.74	4.29		442.0	1989	69+13
1993_69+13.wav	0.94	4.33		406.0875015482086	1993	69+13
1995_69+13.wav	3.39	5.07		442.0	1995	69+13
1964_7+5.wav	4.04	5.94		294.9996077715776	1964	7+5
1968_7+5.wav	4.18	6.03		294.9996077715776	1968	7+5
1985_7+5.wav	6.27	6.63		294.9996077715776	1985	7+5
1986_7+5.wav	2.32	4.39		294.9996077715776	1986	7+5
1989_7+5.wav	0.66	5.71		294.9996077715776	1989	7+5
1993_7+5.wav	1.29	5.30		271.0308906734422	1993	7+5
1995_7+5.wav	1.64	6.67		294.9996077715776	1995	7+5
1964_88+15.wav	5.29	5.66		496.12822535274285	1964	88+15
1968_88+15.wav	5.62	4.89		496.12822535274285	1968	88+15
1985_88+15.wav	4.47	4.02		496.12822535274285	1985	88+15
1986_88+15.wav	1.56	3.28		496.12822535274285	1986	88+15
1989_88+15.wav	2.23	5.63		496.12822535274285	1989	88+15
1993_88+15.wav	1.49	4.09		455.8178087806379	1993	88+15
1995_88+15.wav	3.83	5.78		496.12822535274285	1995	88+15
1964_89+5.wav	4.62	5.18		556.885104053534	1964	89+5
1968_89+5.wav	4.29	4.51		556.885104053534	1968	89+5
1985_89+5.wav	4.73	4.66		556.885104053534	1985	89+5
1986_89+5.wav	2.19	5.39		556.885104053534	1986	89+5
1989_89+5.wav	2.82	4.08		556.885104053534	1989	89+5
1993_89+5.wav	5.87	4.62		511.63819129980493	1993	89+5
1995_89+5.wav	6.65	4.64		556.885104053534	1995	89+5
